'type','encrun','retrun','jit','Word','score','Response','RAWONSET','RT','subject','otherResps','ONSETtr','jit','enctype'
0,3,3,2500,'CIRCLE',1,14,277504,1697,'o311','',1.36E+02,2500,3
0,3,3,2500,'DEPARTMENT',1,14,282505,2326,'o311','',1.38E+02,2500,3
0,4,3,2000,'FAST',2,2,287504,1607,'o311','',1.41E+02,2000,3
1,2,3,2000,'PAIR',2,2,292004,1708,'o311','',1.43E+02,2000,1
1,4,3,2500,'SECRETARY',1,14,296505,2232,'o311','',1.45E+02,2500,3
0,2,3,2500,'DEAL',2,2,301504,1263,'o311','',1.48E+02,2500,1
1,1,3,2000,'RED',3,22,306504,2603,'o311','',1.50E+02,2000,1
1,6,3,3000,'HALF',1,14,311004,2579,'o311','',1.53E+02,3000,5
0,4,3,3000,'STUDENT',2,2,316505,1783,'o311','',1.55E+02,3000,3
1,4,3,2000,'FRAME',2,2,322004,1549,'o311','',1.58E+02,2000,3
0,5,3,3000,'COLLEGE',3,22,326505,1623,'o311','',1.60E+02,3000,5
1,2,4,2500,'PROPERTY',2,2,2004,1886,'o311','',-2.00E+00,2500,1
1,6,4,3000,'WEST',2,2,7004,2386,'o311','',5.02E-01,3000,5
1,3,4,1500,'EVENT',1,14,12504,3162,'o311','',3.25E+00,1500,3
2,7,4,1500,'PLAY',2,2,16504,1927,'o311','',5.25E+00,1500,0
2,7,4,1500,'SPEECH',3,14,20504,2502,'o311','',7.25E+00,1500,0
0,3,4,2500,'TALK',2,2,24504,1462,'o311','',9.25E+00,2500,3
1,6,4,2000,'DUST',2,2,29504,1297,'o311','',1.18E+01,2000,5
1,4,4,2500,'COLUMN',2,2,34005,1722,'o311','',1.40E+01,2500,3
2,7,4,2500,'COVER',3,14,39004,1858,'o311','',1.65E+01,2500,0
2,7,4,2000,'WEEK',3,14,44004,2458,'o311','',1.90E+01,2000,0
2,7,4,2000,'ESTATE',2,2,48504,2154,'o311','',2.13E+01,2000,0
1,6,4,2000,'TRAIN',2,2,53004,1894,'o311','',2.35E+01,2000,5
1,5,4,2500,'QUESTION',2,2,57505,1968,'o311','',2.58E+01,2500,5
0,1,4,3000,'POSITION',2,2,62505,2213,'o311','',2.83E+01,3000,1
1,5,4,2500,'FAIR',2,2,68004,2220,'o311','',3.10E+01,2500,5
1,5,4,2000,'MANAGEMENT',2,2,73005,2629,'o311','',3.35E+01,2000,5
0,6,4,2000,'TRAVEL',2,2,77504,1535,'o311','',3.58E+01,2000,5
0,6,4,2500,'MASTER',1,14,82004,2045,'o311','',3.80E+01,2500,5
1,2,4,2000,'AIR',2,2,87004,1156,'o311','',4.05E+01,2000,1
2,7,4,1500,'SAVE',2,2,91504,1536,'o311','',4.28E+01,1500,0
1,1,4,1500,'BIT',2,2,95504,1486,'o311','',4.48E+01,1500,1
0,6,4,2000,'KING',2,2,99504,1506,'o311','',4.68E+01,2000,5
1,1,4,2500,'BEAT',2,2,104004,2652,'o311','',4.90E+01,2500,1
0,1,4,3000,'DANCE',2,2,109004,902,'o311','',5.15E+01,3000,1
2,7,4,2500,'ESCAPE',2,2,114504,1192,'o311','',5.43E+01,2500,0
2,7,4,2500,'JUNIOR',3,14,119505,1887,'o311','',5.68E+01,2500,0
0,5,4,2500,'ADMINISTRATION',2,2,124505,1607,'o311','',5.93E+01,2500,5
1,1,4,1500,'PEACE',2,2,129504,1278,'o311','',6.18E+01,1500,1
1,3,4,2000,'MESSAGE',2,2,133505,1297,'o311','',6.38E+01,2000,3
2,7,4,2500,'HUSBAND',2,2,138005,1693,'o311','',6.60E+01,2500,0
0,5,4,2500,'PRIMARY',2,2,143005,1298,'o311','',6.85E+01,2500,5
1,1,4,2000,'EIGHT',1,14,148004,3034,'o311','',7.10E+01,2000,1
1,5,4,2000,'CHAIN',2,2,152504,1114,'o311','',7.33E+01,2000,5
1,3,4,1500,'JUDGE',2,2,157004,1460,'o311','',7.55E+01,1500,3
2,7,4,2500,'MOVE',3,14,161004,3045,'o311','',7.75E+01,2500,0
2,7,4,1500,'COAST',2,2,166004,1835,'o311','',8.00E+01,1500,0
2,7,4,2000,'HEADQUARTERS',2,2,170005,1769,'o311','',8.20E+01,2000,0
0,3,4,1500,'CROWD',2,2,174504,2056,'o311','',8.43E+01,1500,3
2,7,4,1500,'BREAKFAST',3,14,178505,2070,'o311','',8.63E+01,1500,0
2,7,4,1500,'EQUIPMENT',3,14,182505,1670,'o311','',8.83E+01,1500,0
2,7,4,2500,'OIL',3,14,186504,1351,'o311','',9.03E+01,2500,0
0,4,4,3000,'IMPACT',2,2,191504,1887,'o311','',9.28E+01,3000,3
1,4,4,1500,'SPOKE',1,14,197004,2467,'o311','',9.55E+01,1500,3
2,7,4,1500,'ISSUE',3,14,201004,2102,'o311','',9.75E+01,1500,0
0,3,4,1500,'FLOOR',3,22,205004,1762,'o311','',9.95E+01,1500,3
0,5,4,1500,'AUDIENCE',2,2,209005,1857,'o311','',1.02E+02,1500,5
2,7,4,2000,'NOTICE',3,14,213004,2438,'o311','',1.04E+02,2000,0
0,4,4,2500,'LOSS',2,2,217504,2193,'o311','',1.06E+02,2500,3
2,7,4,2000,'CONFERENCE',2,2,222505,1397,'o311','',1.08E+02,2000,0
2,7,4,2000,'UNIFORM',3,14,227005,1828,'o311','',1.11E+02,2000,0
1,2,4,2500,'INSTANCE',1,14,231505,3133,'o311','',1.13E+02,2500,1
0,4,4,2000,'STAFF',2,2,236504,1464,'o311','',1.15E+02,2000,3
0,2,4,2000,'ORCHESTRA',2,2,241005,2069,'o311','',1.18E+02,2000,1
1,4,4,2000,'INDIVIDUAL',2,2,245505,1969,'o311','',1.20E+02,2000,3
2,7,4,1500,'CONTENT',3,14,250005,2349,'o311','',1.22E+02,1500,0
2,7,4,3000,'CLOSER',2,2,254004,1885,'o311','',1.24E+02,3000,0
0,5,4,1500,'MASS',1,14,259504,2226,'o311','',1.27E+02,1500,5
0,1,4,1500,'POST',1,14,263504,1841,'o311','',1.29E+02,1500,1
0,2,4,1500,'COMBINATION',2,2,267505,1645,'o311','',1.31E+02,1500,1
1,4,4,2000,'BACKGROUND',2,2,271505,1950,'o311','',1.33E+02,2000,3
0,6,4,3000,'UNIVERSITY',3,22,276005,1565,'o311','',1.35E+02,3000,5
2,7,4,2000,'SECURITY',3,14,281505,2096,'o311','',1.38E+02,2000,0
2,7,4,2500,'VOTE',2,2,286004,1707,'o311','',1.40E+02,2500,0
2,7,4,1500,'HOTEL',3,14,291004,1717,'o311','',1.43E+02,1500,0
1,3,4,2500,'RATE',2,2,295004,1668,'o311','',1.45E+02,2500,3
1,6,4,1500,'CHIEF',2,2,300004,1293,'o311','',1.47E+02,1500,5
0,2,4,2500,'EVENING',2,2,304005,1817,'o311','',1.49E+02,2500,1
0,4,4,2500,'FIGHT',2,2,309004,1203,'o311','',1.52E+02,2500,3
1,2,4,2500,'PARK',2,2,314004,1819,'o311','',1.54E+02,2500,1
0,2,4,2000,'GOLD',2,2,319004,1314,'o311','',1.57E+02,2000,1
0,3,4,2000,'SIGN',2,2,323504,1759,'o311','',1.59E+02,2000,3
0,1,4,1500,'PASS',1,14,328004,2575,'o311','',1.61E+02,1500,1
0,3,5,3000,'MEMBER',2,2,2004,2012,'o311','',-2.00E+00,3000,3
2,7,5,1500,'STORY',3,14,7504,3182,'o311','',7.52E-01,1500,0
0,6,5,2500,'CROSS',1,14,11504,1997,'o311','',2.75E+00,2500,5
0,5,5,2500,'PLATFORM',2,2,16505,2452,'o311','',5.25E+00,2500,5
1,2,5,2500,'INCOME',2,2,21505,3182,'o311','',7.75E+00,2500,1
1,4,5,2500,'FLESH',1,14,26504,1688,'o311','',1.03E+01,2500,3
2,7,5,1500,'ADVANTAGE',2,2,31505,2062,'o311','',1.28E+01,1500,0
0,5,5,2000,'CENT',1,14,35504,1489,'o311','',1.48E+01,2000,5
2,7,5,2500,'REVOLUTION',2,2,40005,1593,'o311','',1.70E+01,2500,0
0,3,5,1500,'HEAT',2,2,45004,1669,'o311','',1.95E+01,1500,3
1,4,5,1500,'SKY',1,14,49004,2834,'o311','',2.15E+01,1500,3
2,7,5,2000,'TOUCH',3,14,53004,1825,'o311','',2.35E+01,2000,0
0,2,5,2000,'EAST',2,2,57504,1725,'o311','',2.58E+01,2000,1
1,3,5,2000,'WALL',2,2,62004,1385,'o311','',2.80E+01,2000,3
2,7,5,2500,'COMMAND',2,2,66505,1464,'o311','',3.03E+01,2500,0
1,5,5,1500,'RAIN',1,14,71504,2031,'o311','',3.28E+01,1500,5
1,6,5,2000,'NARROW',1,14,75505,1950,'o311','',3.48E+01,2000,5
0,2,5,1500,'ECONOMY',2,2,80005,2120,'o311','',3.70E+01,1500,1
2,7,5,2500,'WALK',3,14,84004,2651,'o311','',3.90E+01,2500,0
0,4,5,3000,'BABY',3,22,89004,1397,'o311','',4.15E+01,3000,3
2,7,5,1500,'APPROVAL',2,2,94505,1896,'o311','',4.43E+01,1500,0
1,5,5,2000,'JOB',2,2,98504,1592,'o311','',4.63E+01,2000,5
2,7,5,2000,'CATTLE',3,14,103004,2148,'o311','',4.85E+01,2000,0
0,4,5,1500,'BRILLIANT',1,14,107505,2752,'o311','',5.08E+01,1500,3
0,1,5,1500,'FUTURE',3,22,111504,1758,'o311','',5.28E+01,1500,1
2,7,5,2500,'MANNER',3,14,115505,2252,'o311','',5.48E+01,2500,0
1,4,5,1500,'PLEASURE',2,2,120505,1622,'o311','',5.73E+01,1500,3
2,7,5,2000,'HAIR',3,14,124504,2249,'o311','',5.93E+01,2000,0
1,2,5,2500,'BOTTLE',1,14,129004,2049,'o311','',6.15E+01,2500,1
1,5,5,2500,'FILE',1,14,134004,2524,'o311','',6.40E+01,2500,5
0,2,5,3000,'DECISION',2,2,139005,2064,'o311','',6.65E+01,3000,1
2,7,5,1500,'FINE',3,14,144504,1865,'o311','',6.93E+01,1500,0
0,4,5,2500,'ROAD',2,2,148504,1175,'o311','',7.13E+01,2500,3
2,7,5,1500,'NATURE',2,2,153504,1390,'o311','',7.38E+01,1500,0
1,1,5,2500,'POOL',2,2,157504,1326,'o311','',7.58E+01,2500,1
2,7,5,2000,'DETECTIVE',3,14,162505,3175,'o311','',7.83E+01,2000,0
